Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100 nF","C_0603_1608Metric",132.605000,-122.360000,180.000000,top
"D1","Red Led","LED_0805_2012Metric",148.925780,-121.226862,180.000000,top
"R1","0","R_0603_1608Metric",136.920000,-122.360000,180.000000,top
"R2","1k","R_0603_1608Metric",144.925780,-121.226862,0.000000,top
"U2","74LVC1G06","SOT-23-5",132.930000,-118.860000,180.000000,top
